name,cntry,Gndr,W4q50,C2weight,Eduyrs,Netusoft
CRON2W4e01,AT,Masculino,Algunas veces,6.0786076,13,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.4209123,12,Less often
CRON2W4e01,AT,Masculino,Algunas veces,0.5823908,15,Less often
CRON2W4e01,AT,Masculino,Rara vez,2.0215816,12,Less often
CRON2W4e01,AT,Femenino,Algunas veces,0.9997729,12,Less often
CRON2W4e01,AT,Femenino,Rara vez,0.3137368,15,Less often
CRON2W4e01,AT,Femenino,Algunas veces,2.2282662,21,Less often
CRON2W4e01,AT,Femenino,Nunca,1.1294525,12,Most days
CRON2W4e01,AT,Masculino,Todo el tiempo,0.16333663,23,Less often
CRON2W4e01,AT,Femenino,Rara vez,1.7236017,15,A few times a month
CRON2W4e01,AT,Femenino,Rara vez,0.26709113,24,Less often
CRON2W4e01,AT,Masculino,Rara vez,0.62318045,20,Less often
CRON2W4e01,AT,Femenino,Todo el tiempo,1.6362315,18,Less often
